movieId,imdbId,title,year,genres,tmdbId,reason
125958,tt1307789,Stephen Fry In America - New World,,(no genres listed),76162,tmdb_not_found_or_empty
128734,tt4438688,Polskie gówno,,Comedy|Musical,,no_tmdb_id
129651,tt1855924,The Third Reich: The Rise & Fall,,(no genres listed),160874,tmdb_not_found_or_empty
147250,tt0229922,The Adventures of Sherlock Holmes and Doctor Watson,,(no genres listed),127605,tmdb_not_found_or_empty
148093,tt4006044,The Republic,,Action|Crime|Thriller,,no_tmdb_id
148896,tt0409584,Medicinmannen,,(no genres listed),366492,tmdb_not_found_or_empty
149090,tt1194105,The Code,,(no genres listed),303950,tmdb_not_found_or_empty
149502,tt1674766,101次求婚,,(no genres listed),187006,tmdb_not_found_or_empty
154386,tt0304483,Normaal: Ik Kom Altied Weer Terug,,(no genres listed),180240,tmdb_not_found_or_empty
157787,tt0371501,.hack Liminality: In the Case of Mai Minase,,(no genres listed),93734,tmdb_not_found_or_empty
157789,tt0371502,.hack Liminality In the Case of Yuki Aihara,,(no genres listed),93737,tmdb_not_found_or_empty
157791,tt0381839,.hack Liminality In the Case of Kyoko Tohno,,(no genres listed),93740,tmdb_not_found_or_empty
159325,tt0028852,Fant,,(no genres listed),368526,tmdb_not_found_or_empty
162006,tt4632316,Gleason,,(no genres listed),408286,tmdb_not_found_or_empty
162886,tt5590832,Scott Hall: Living on a Razor's Edge,,(no genres listed),407048,tmdb_not_found_or_empty
163018,tt5502346,A Lovasíjász,,Adventure|Documentary,407965,tmdb_not_found_or_empty
165747,tt4922028,Exchange,,Horror,422274,tmdb_not_found_or_empty
166289,tt2782754,Allende en su laberinto,,(no genres listed),419289,tmdb_not_found_or_empty
166775,tt6290024,Uno: The Movie,,Comedy,428737,tmdb_not_found_or_empty
167098,tt1571570,Dolpo Tulku - Heimkehr in den Himalaya,,(no genres listed),216550,tmdb_not_found_or_empty
167312,tt4302788,O Caseiro,,(no genres listed),419185,tmdb_not_found_or_empty
170109,tt0078576,Blindpassasjer,,(no genres listed),366561,tmdb_not_found_or_empty
170465,tt2976152,The Lost World of Communism,,(no genres listed),409820,tmdb_not_found_or_empty
170745,tt1837492,13 reasons why,,(no genres listed),450980,tmdb_not_found_or_empty
171495,tt0081846,Cosmos,,(no genres listed),409926,tmdb_not_found_or_empty
171749,tt0877057,Death Note: Desu nôto (2006–2007),,(no genres listed),419787,tmdb_not_found_or_empty
172739,tt1426767,Игра на выбывание,,(no genres listed),340155,tmdb_not_found_or_empty
172915,tt1462059,Falling Skies,,(no genres listed),355426,tmdb_not_found_or_empty
173347,tt0371472,Philosophy: A Guide to Happiness,,Documentary,247263,tmdb_not_found_or_empty
174485,tt1830238,Salad Fingers,,(no genres listed),425916,tmdb_not_found_or_empty
174953,tt5256044,Mundo Cão,,(no genres listed),398295,tmdb_not_found_or_empty
175335,tt6051554,The Garden of Afflictions 2017,,(no genres listed),439314,tmdb_not_found_or_empty
175695,tt5195738,The Misadventures of Rick and Morty,,(no genres listed),465822,tmdb_not_found_or_empty
178619,tt6213880,Vilaieha,,(no genres listed),478412,tmdb_not_found_or_empty
181407,tt1776283,Prosta historia o miłości,,(no genres listed),489646,tmdb_not_found_or_empty
182723,tt2395695,Cosmos: A Spacetime Odissey,,(no genres listed),488705,tmdb_not_found_or_empty
183665,tt2949378,The Moors Murders,,(no genres listed),468766,tmdb_not_found_or_empty
